from,to,walking,public_transport
618284053,410455891,418,418
618284053,561323738,585,585
618284053,4063613611,498,498
618284053,2137688161,263,263
618284053,1363354897,251,251
618284053,2478696679,506,506
618284053,895302724,493,493
618284053,5664809637,471,471
618284053,4192093000,680,680
618284053,1454374331,484,484
618284053,4852403788,313,313
618284053,9995798817,570,570
618284053,442585871,645,645
618284053,244497161,622,622
618284053,2579219364,749,749
618284053,3380176573,680,680
618284053,6778160929,548,548
618284053,355686988,912,912
618284053,311283313,953,953
618284053,10238950146,690,690
618284053,2457088247,738,738
618284053,3563688393,841,841
618284053,948326965,689,689
618284053,8334692909,1236,1236
618284053,2669480090,898,898
618284053,12390124794,1345,1394
618284053,12952062259,1396,1396
618284053,2750669760,1198,1198
618284053,2454512962,722,722
618284053,12843952346,1045,1045
618284053,5578380846,1312,1312
618284053,10013110915,1377,1377
618284053,4030881336,1323,1323
618284053,1590153702,1107,1107
618284053,136322935,1656,1656
618284053,5981514091,965,965
618284053,442551000,773,773
618284053,12479126905,866,866
618284053,133618467,1136,1136
618284053,1488907662,1215,1215
618284053,1991433140,899,899
618284053,5582570021,1006,1006
618284053,4239841589,1450,1450
618284053,4019827636,1352,1352
618284053,1167293625,1276,1276
618284053,5881659505,1191,1191
618284053,295413460,1096,1096
618284053,1107533195,1658,1658
618284053,138314025,1625,1625
618284053,10583638334,1395,1395
618284053,476441840,984,984
618284053,1467334210,1025,1025
618284053,30528334,1169,1169
618284053,2247657921,1197,1197
618284053,415627424,1665,1665
618284053,2510053075,1563,1563
618284053,2450295917,1187,1187
618284053,12864827040,1372,1372
618284053,9645157393,1109,1109
618284053,354615386,1179,1179
618284053,1363142268,1487,1487
618284053,8209501770,1593,1593
1363354897,1308621529,705,705
1363354897,4551892507,1053,1053
1363354897,359238262,769,769
1363354897,5904861029,965,965
1363354897,2048616571,837,837
1363354897,98105901,1140,1140
1363354897,410455891,670,670
1363354897,561323738,836,836
1363354897,4063613611,722,722
1363354897,2137688161,294,294
1363354897,618284053,308,308
1363354897,2478696679,255,255
1363354897,895302724,242,242
1363354897,5664809637,220,220
1363354897,4192093000,429,429
1363354897,1454374331,339,339
1363354897,4852403788,394,394
1363354897,9995798817,651,651
1363354897,442585871,726,726
1363354897,244497161,703,703
1363354897,2579219364,830,830
1363354897,3380176573,760,760
1363354897,6778160929,629,629
1363354897,355686988,1043,1043
1363354897,311283313,1033,1033
1363354897,10238950146,770,770
1363354897,2457088247,799,799
1363354897,3563688393,1006,1006
1363354897,948326965,527,527
1363354897,8334692909,1361,1361
1363354897,2669480090,1150,1150
1363354897,12390124794,1554,1554
1363354897,12952062259,1275,1275
1363354897,2750669760,1068,1068
1363354897,2454512962,560,560
1363354897,12843952346,794,794
1363354897,5578380846,1191,1184
1363354897,10013110915,971,971
1363354897,4030881336,1094,1094
1363354897,1590153702,1074,1074
1363354897,136322935,1405,1405
1363354897,5981514091,714,714
1363354897,442551000,867,867
1363354897,12479126905,710,710
1363354897,133618467,1128,1128
1363354897,1488907662,1308,1308
1363354897,1991433140,992,992
1363354897,5582570021,990,990
1363354897,4239841589,1492,1492
1363354897,4019827636,1336,1336
1363354897,1167293625,1293,1402
1363354897,5881659505,1125,1125
1363354897,295413460,1121,997
1363354897,1107533195,1738,1738
1363354897,138314025,1691,1691
1363354897,10583638334,1539,1539
1363354897,476441840,1115,1115
1363354897,1467334210,1156,1156
1363354897,30528334,1299,1299
1363354897,2247657921,1327,1327
1363354897,415627424,1795,1795
1363354897,2510053075,1821,1821
1363354897,2450295917,1433,1433
1363354897,12864827040,1618,1618
1363354897,9645157393,1229,1229
1363354897,354615386,1040,1040
1363354897,1363142268,1525,1532
1363354897,8209501770,1465,1465
2478696679,1308621529,958,958
2478696679,4551892507,1309,1309
2478696679,359238262,1025,1025
2478696679,5904861029,1218,1218
2478696679,2048616571,1090,1090
2478696679,98105901,1140,1140
2478696679,410455891,861,861
2478696679,561323738,924,924
2478696679,4063613611,722,722
2478696679,2137688161,558,558
2478696679,618284053,594,594
2478696679,1363354897,546,546
2478696679,895302724,356,356
2478696679,5664809637,219,219
2478696679,4192093000,512,512
2478696679,1454374331,656,656
2478696679,4852403788,647,647
2478696679,9995798817,913,913
2478696679,442585871,901,901
2478696679,244497161,876,876
2478696679,2579219364,782,782
2478696679,3380176573,976,976
2478696679,6778160929,910,910
2478696679,355686988,1314,1317
2478696679,311283313,889,889
2478696679,10238950146,1023,1023
2478696679,2457088247,714,714
2478696679,3563688393,1000,1000
2478696679,948326965,518,518
2478696679,8334692909,1370,1370
2478696679,2669480090,1042,1042
2478696679,12390124794,1618,1618
2478696679,12952062259,1023,1023
2478696679,2750669760,973,973
2478696679,2454512962,307,307
2478696679,12843952346,768,778
2478696679,5578380846,939,939
2478696679,10013110915,1004,1004
2478696679,4030881336,1068,1068
2478696679,1590153702,993,1018
2478696679,136322935,1379,1379
2478696679,5981514091,633,633
2478696679,442551000,685,685
2478696679,12479126905,629,629
2478696679,133618467,1047,1047
2478696679,1488907662,1126,1126
2478696679,1991433140,810,810
2478696679,5582570021,909,909
2478696679,4239841589,1302,1302
2478696679,4019827636,1255,1255
2478696679,1167293625,1212,1212
2478696679,5881659505,1044,1044
2478696679,295413460,931,931
2478696679,1107533195,1661,1661
2478696679,138314025,1628,1628
2478696679,10583638334,1456,1456
2478696679,476441840,1386,1386
2478696679,1467334210,1409,1427
2478696679,30528334,1552,1552
2478696679,2247657921,1463,1463
2478696679,415627424,1905,1905
2478696679,2510053075,1798,1828
2478696679,2450295917,1411,1411
2478696679,12864827040,1682,1682
2478696679,9645157393,1229,1229
2478696679,354615386,854,854
2478696679,1363142268,1280,1280
2478696679,8209501770,1220,1220
895302724,1308621529,605,605
895302724,4551892507,953,953
895302724,359238262,669,669
895302724,5904861029,865,865
895302724,2048616571,737,737
895302724,98105901,1135,1135
895302724,410455891,570,570
895302724,561323738,737,737
895302724,4063613611,650,650
895302724,2137688161,236,236
895302724,618284053,300,300
895302724,1363354897,224,224
895302724,2478696679,279,279
895302724,5664809637,331,331
895302724,4192093000,365,365
895302724,1454374331,239,239
895302724,4852403788,294,294
895302724,9995798817,514,514
895302724,442585871,589,589
895302724,244497161,566,566
895302724,2579219364,693,693
895302724,3380176573,660,660
895302724,6778160929,492,492
895302724,355686988,943,943
895302724,311283313,933,933
895302724,10238950146,670,670
